candidate_id,candidate_election_year,candidate_name,party_full,incumbent_challenge_full,office,total_receipts,total_disbursements,cash_on_hand_end_period,committee_ids,coverage_end_date,candidate_pcc_id,candidate_pcc_name
P20003307,2012,"PEDERSEN, GEORGE CHRISTIAN",REPUBLICAN PARTY,Challenger,P,0.0,0.0,0.0,{C00500652},,C00500652,"COMMITTEE TO ELECT CHRIS PEDERSEN, THE"
P20003315,2012,"RICE, DAVID MICHAEL",REPUBLICAN PARTY,Challenger,P,0.0,0.0,0.0,{C00500801},,C00500801,RICETOWN ROYAL REPUBLIC
P20003323,2012,"MAYERS, R BENEDICT",REPUBLICAN PARTY,Challenger,P,0.0,0.0,0.0,{C00500751},,C00500751,R BENEDICT MAYERS FOR PRESIDENT COMMITTEE
P20003331,2012,"REED, RICHARD IRVEN",UNKNOWN,Challenger,P,1.00,0.00,1.00,{C00500876},2011-09-30 00:00:00,C00500876,RICHARD REED FOR PRESIDENT CAMPAIGN COMMITTEE
P20003349,2012,"JORDAN, ROBERT",DEMOCRATIC PARTY,Challenger,P,0.0,0.0,0.0,{C00501726},,C00501726,ROBERT JORDAN FOR PRESIDENT
P20003356,2012,"SNYDER, MATTHEW BRADLEY",REPUBLICAN PARTY,Challenger,P,0.0,0.0,0.0,{C00501320},,C00501320,MATTSNYDERFORPRESIDENT.COM
P20003364,2012,"HARRIS, RICHARDJASON SATAWK",LIBERTARIAN PARTY,Challenger,P,13666.20,13472.06,194.14,{C00501577},2012-06-30 00:00:00,C00501577,RJ HARRIS 2012
P20003372,2012,"JUDY, CODY ROBERT",DEMOCRATIC PARTY,Challenger,P,0.0,0.0,0.0,{C00501593},,C00501593,CODY ROBERT JUDY FOR PRESIDENT 2012 U S C ELIGIBILITY CAMPAIGN
P20003398,2012,"BLOCK, JEFF",UNKNOWN,Challenger,P,5278.00,5271.00,6.00,{C00501684},2012-03-31 00:00:00,C00501684,JEFF BLOCK PRESIDENT FOR 100 DAYS INC
P20003414,2012,"SLOAN, MICHAEL EMERSON",REPUBLICAN PARTY,Challenger,P,0.0,0.0,0.0,{C00501874},,C00501874,MICHAEL SLOAN FOR PRESIDENT
P20003422,2012,"MEALER, JOHN LEWIS",INDEPENDENT,Challenger,P,0.0,0.0,0.0,{C00501882},,C00501882,MEALER 2012
P20003430,2012,"DRUMMOND, KEITH",REPUBLICAN PARTY,Challenger,P,20740.00,18492.00,2246.00,{C00502005},2011-10-31 00:00:00,C00502005,DRUMMOND 2012
P20003448,2012,"RAKOWITZ, ARTHUR FABIAN",INDEPENDENT,Challenger,P,2040.00,5179.00,0.0,{C00502013},2012-04-15 00:00:00,C00502013,RAKOWITZ FOR PRESIDENT CAMPAIGN FUND
P20003489,2012,"WIFORD, SAMUEL TIMOTHY II",INDEPENDENT,Challenger,P,29908.35,29908.35,0.00,{C00502385},2012-07-31 00:00:00,C00502385,WIFORD FOR AMERICA 2012
P20003497,2012,"MORZUCH, ALBERT",INDEPENDENT,Challenger,P,0.00,0.00,0.00,{C00504167},2011-12-31 00:00:00,C00504167,ALBERT MORZUCH 2012
P20003547,2012,"GOUGE, JACKIE",INDEPENDENT,Challenger,P,0.0,0.0,0.0,{C00502690},,C00502690,JACKIE GOUGE FOR PRESIDENT
P20003588,2012,"TURNER, MATTHEW ALLEN",REPUBLICAN PARTY,Challenger,P,115.00,101.00,14.00,{C00502922},2011-12-31 00:00:00,C00502922,TURNER FOR PRESIDENT
P20003604,2012,"STRICKLAND, TIMMY WAYNE",REPUBLICAN PARTY,Challenger,P,0.0,0.0,0.0,{C00505040},,C00505040,TIMMY STRICKLAND FOR PRESIDENT
P20003612,2012,"LOPEZ, AURORA",REPUBLICAN PARTY,Challenger,P,0.0,0.0,0.0,{C00503029},,C00503029,COMMITTEE TO ELECT AURORA LOPEZ FOR PRESIDENT
P20003620,2012,"WHITLEY, MICHAEL EDWIN",REFORM PARTY,Challenger,P,733.19,626.69,0.00,{C00503037},2012-12-31 00:00:00,C00503037,MICHAEL WHITLEY FOR PRESIDENT
P20003653,2012,"STORY, RICKEY JOE",REPUBLICAN PARTY,Challenger,P,200.00,200.00,0.00,{C00503771},2011-12-31 00:00:00,C00503771,"AVERAGE JOE FOR PRESIDENT JOE STORY, THE"
P20003695,2012,"ROASEAU, WARD DEREK",REPUBLICAN PARTY,Challenger,P,0.0,0.0,0.0,{C00504118},,C00504118,ROASEAU FOR PRESIDENT
